iter	Passed	Remaining
0	1	140
1	2	130
2	3	121
3	4	111
4	5	108
5	6	106
6	8	106
7	9	105
8	10	106
9	11	105
10	12	103
11	13	102
12	15	100
13	16	99
14	17	97
15	18	95
16	19	93
17	20	92
18	21	91
19	22	89
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	80
26	29	79
27	30	77
28	31	76
29	32	76
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	38	69
36	39	67
37	40	66
38	41	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	41
60	63	40
61	63	39
62	64	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
