iter	Passed	Remaining
0	56	56733
1	58	29169
2	60	20203
3	62	15457
4	63	12630
5	65	10798
6	66	9474
7	68	8483
8	69	7705
9	71	7080
10	73	6595
11	74	6155
12	76	5776
13	77	5457
14	78	5178
15	80	4936
16	81	4721
17	82	4526
18	84	4355
19	85	4196
20	87	4076
21	88	3941
22	90	3829
23	91	3731
24	93	3633
25	94	3546
26	96	3466
27	97	3390
28	99	3317
29	100	3265
30	102	3199
31	103	3136
32	105	3077
33	106	3022
34	107	2969
35	109	2921
36	110	2871
37	111	2833
38	114	2816
39	116	2784
40	117	2749
41	119	2722
42	121	2712
43	123	2677
44	124	2652
45	127	2651
46	129	2626
47	130	2596
48	132	2575
49	134	2560
50	136	2539
51	138	2516
52	139	2495
53	141	2481
54	143	2464
55	144	2443
56	146	2426
57	148	2404
58	149	2386
59	151	2368
60	152	2353
61	154	2340
62	156	2330
63	158	2314
64	159	2298
65	161	2281
66	162	2268
67	164	2253
68	165	2239
69	167	2225
70	169	2215
71	171	2210
72	173	2198
73	174	2186
74	176	2174
75	178	2164
76	179	2151
77	181	2140
78	182	2129
79	184	2125
80	186	2115
81	188	2105
82	189	2088
83	190	2080
84	192	2071
85	194	2063
86	195	2055
87	198	2053
88	199	2045
89	201	2034
90	202	2026
91	204	2017
92	206	2010
93	207	2003
94	209	1994
95	210	1986
96	213	1985
97	214	1978
98	216	1971
99	218	1965
100	220	1960
101	221	1954
102	223	1946
103	224	1938
104	226	1932
105	228	1927
106	230	1920
107	231	1914
108	233	1906
109	234	1900
110	236	1893
111	238	1887
112	239	1881
113	242	1880
114	243	1874
115	245	1868
116	246	1858
117	247	1852
118	249	1848
119	251	1842
120	253	1838
121	254	1829
122	256	1828
123	258	1823
124	260	1820
125	261	1815
126	262	1806
127	264	1801
128	265	1795
129	267	1788
130	268	1782
131	270	1781
132	272	1776
133	273	1770
134	275	1764
135	276	1758
136	278	1756
137	280	1750
138	281	1744
139	283	1739
140	285	1736
141	286	1728
142	287	1723
143	289	1719
144	290	1713
145	292	1708
146	293	1703
147	295	1699
148	296	1694
149	299	1697
150	301	1693
151	302	1688
152	304	1683
153	305	1679
154	307	1675
155	309	1672
156	311	1670
157	312	1666
158	314	1662
159	315	1658
160	316	1651
161	318	1647
162	320	1643
163	321	1639
164	323	1636
165	324	1631
166	326	1627
167	328	1625
168	329	1621
169	331	1618
170	333	1614
171	334	1610
172	336	1607
173	337	1604
174	339	1599
175	340	1594
176	342	1593
177	344	1590
178	345	1585
179	347	1581
180	348	1577
181	350	1573
182	351	1569
183	353	1565
184	354	1561
185	356	1560
186	358	1556
187	359	1553
188	361	1550
189	362	1546
190	364	1542
191	365	1539
192	367	1535
193	368	1532
194	370	1530
195	372	1528
196	374	1525
197	375	1522
198	377	1519
199	379	1516
200	380	1513
201	382	1509
202	383	1506
203	385	1505
204	387	1502
205	388	1499
206	390	1495
207	391	1492
208	393	1490
209	395	1486
210	397	1486
211	399	1485
212	401	1482
213	402	1478
214	404	1476
215	405	1472
216	407	1468
217	408	1465
218	410	1462
219	411	1459
220	413	1458
221	415	1454
222	416	1452
223	418	1449
224	420	1446
225	421	1443
226	423	1441
227	424	1438
228	426	1435
229	428	1435
230	430	1431
231	431	1428
232	433	1425
233	434	1423
234	436	1420
235	437	1417
236	439	1414
237	441	1412
238	442	1410
239	444	1407
240	446	1404
241	447	1402
242	449	1399
243	450	1396
244	452	1393
245	453	1391
246	456	1390
247	457	1388
248	459	1385
249	460	1382
250	462	1380
251	464	1378
252	466	1376
253	468	1374
254	471	1376
255	472	1373
256	475	1373
257	477	1372
258	478	1369
259	480	1367
260	482	1364
261	484	1363
262	486	1363
263	488	1360
264	489	1358
265	492	1358
266	493	1356
267	495	1353
268	497	1351
269	499	1351
270	501	1348
271	502	1345
272	504	1343
273	506	1340
274	507	1338
275	509	1336
276	511	1334
277	513	1333
278	515	1331
279	517	1329
280	518	1327
281	520	1324
282	521	1322
283	523	1319
284	524	1316
285	527	1316
286	529	1314
287	530	1312
288	532	1309
289	533	1307
290	535	1304
291	536	1301
292	538	1299
293	539	1296
294	543	1297
295	544	1296
296	546	1293
297	548	1291
298	549	1288
299	551	1285
300	552	1283
301	554	1280
302	556	1279
303	558	1277
304	559	1275
305	561	1273
306	562	1270
307	564	1267
308	565	1265
309	567	1262
310	569	1260
311	570	1258
312	572	1256
313	574	1254
314	576	1253
315	578	1251
316	579	1248
317	581	1246
318	582	1244
319	584	1242
320	586	1240
321	588	1238
322	589	1236
323	591	1233
324	592	1231
325	594	1229
326	596	1227
327	598	1226
328	600	1224
329	601	1221
330	603	1219
331	604	1217
332	606	1214
333	608	1212
334	609	1210
335	612	1209
336	614	1208
337	615	1205
338	617	1203
339	618	1201
340	620	1198
341	621	1196
342	623	1194
343	625	1192
344	627	1191
345	628	1188
346	630	1186
347	631	1183
348	633	1181
349	634	1179
350	636	1176
351	637	1174
352	640	1173
353	642	1171
354	643	1169
355	645	1166
356	646	1164
357	648	1162
358	649	1159
359	651	1157
360	652	1155
361	654	1153
362	656	1151
363	657	1149
364	659	1146
365	660	1144
366	662	1142
367	663	1139
368	665	1137
369	666	1135
370	668	1134
371	670	1131
372	671	1129
373	673	1127
374	674	1124
375	676	1122
376	677	1119
377	679	1117
378	680	1115
379	682	1113
380	684	1111
381	685	1109
382	687	1107
383	689	1105
384	690	1103
385	692	1101
386	693	1099
387	695	1097
388	697	1095
389	699	1093
390	700	1091
391	702	1089
392	703	1087
393	705	1084
394	706	1082
395	708	1080
396	710	1078
397	712	1077
398	713	1075
399	715	1073
400	717	1071
401	718	1069
402	720	1067
403	721	1065
404	724	1064
405	726	1063
406	729	1062
407	730	1060
408	732	1058
409	734	1056
410	735	1054
411	737	1052
412	739	1050
413	741	1049
414	743	1047
415	744	1045
416	746	1043
417	748	1041
418	749	1039
419	751	1037
420	752	1035
421	755	1034
422	756	1032
423	758	1029
424	759	1028
425	761	1026
426	763	1023
427	764	1021
428	766	1019
429	768	1018
430	769	1016
431	771	1014
432	772	1011
433	774	1009
434	775	1007
435	777	1005
436	778	1002
437	780	1001
438	782	999
439	784	997
440	785	995
441	787	993
442	788	991
443	790	989
444	791	987
445	793	985
446	795	983
447	797	982
448	798	980
449	800	978
450	801	976
451	803	974
452	805	972
453	806	970
454	808	967
455	809	965
456	812	964
457	813	962
458	815	960
459	816	958
460	818	956
461	819	954
462	821	952
463	822	950
464	824	948
465	826	946
466	827	944
467	829	942
468	831	940
469	832	938
470	833	936
471	835	934
472	837	933
473	839	932
474	841	929
475	842	927
476	844	925
477	846	923
478	847	921
479	849	920
480	850	918
481	852	916
482	855	915
483	856	913
484	858	911
485	859	909
486	861	907
487	862	905
488	864	903
489	866	901
490	868	900
491	870	898
492	872	896
493	873	894
494	874	892
495	876	890
496	878	888
497	879	887
498	881	885
499	883	883
500	884	881
501	886	879
502	888	877
503	890	876
504	891	874
505	893	872
506	894	870
507	897	869
508	899	867
509	900	865
510	902	863
511	903	861
512	905	859
513	906	857
514	908	855
515	909	853
516	912	852
517	914	851
518	916	849
519	918	847
520	920	846
521	922	844
522	924	842
523	926	841
524	928	840
525	930	838
526	932	837
527	934	835
528	937	834
529	939	832
530	941	831
531	943	829
532	944	827
533	946	826
534	948	824
535	950	822
536	951	820
537	953	819
538	956	818
539	958	816
540	960	814
541	962	813
542	964	811
543	965	809
544	968	808
545	970	806
546	972	805
547	975	804
548	977	802
549	979	801
550	983	801
551	986	800
552	988	798
553	990	797
554	992	795
555	994	794
556	998	793
557	1000	792
558	1002	790
559	1005	789
560	1007	788
561	1009	786
562	1012	785
563	1014	783
564	1017	783
565	1022	783
566	1024	782
567	1026	781
568	1029	779
569	1031	777
570	1033	776
571	1034	774
572	1036	772
573	1038	770
574	1041	769
575	1043	768
576	1045	766
577	1047	764
578	1049	763
579	1051	761
580	1053	759
581	1056	758
582	1058	756
583	1060	755
584	1062	753
585	1064	752
586	1066	750
587	1069	749
588	1072	748
589	1073	746
590	1075	744
591	1078	743
592	1080	741
593	1082	739
594	1085	739
595	1088	738
596	1090	736
597	1093	734
598	1095	733
599	1097	731
600	1100	730
601	1102	728
602	1104	727
603	1106	725
604	1108	723
605	1110	722
606	1113	720
607	1115	719
608	1119	718
609	1121	717
610	1123	715
611	1125	713
612	1128	712
613	1130	710
614	1133	709
615	1135	708
